Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
0b5a4445855957e9eb3da67303f108335f0b73b55a601ba085713db3417972c0,2019-03,Merseyside Police,Merseyside Police,-2.984445,53.455270,On or near SUFFOLK STREET,E01006966,Sefton 038F,Suspect charged
0b5a4445855957e9eb3da67303f108335f0b73b55a601ba085713db3417972c0,2019-03,Merseyside Police,Merseyside Police,-2.984445,53.455270,On or near SUFFOLK STREET,E01006966,Sefton 038F,Suspect charged
0b5a4445855957e9eb3da67303f108335f0b73b55a601ba085713db3417972c0,2019-03,Merseyside Police,Merseyside Police,-2.984445,53.455270,On or near SUFFOLK STREET,E01006966,Sefton 038F,Suspect charged
bf3643e3616db34e4ccef9f85d053929174f0a7c457faf2188145a5a62460328,2019-03,Merseyside Police,Merseyside Police,-2.783528,53.500802,On or near LAKESIDE GARDENS,E01006882,St. Helens 001A,Unable to prosecute suspect
d071d17cf017f8ae3c28e1d9cbe2f52c3226bcacfe5728cb437a6cdcdfa55240,2019-03,Merseyside Police,Merseyside Police,-2.978238,53.436822,On or near TYNE CLOSE,E01006701,Liverpool 014B,Suspect charged
039f6a97a6fab213006f064801b82c96be7096c393488819a3ac68828b1b730c,2019-03,Merseyside Police,Merseyside Police,-2.921866,53.430691,On or near CLINTON ROAD,E01006618,Liverpool 016C,Investigation complete; no suspect identified
91205c02c50d9b16d562f68fcb93cb1afacbb899a2c8c68a30378ec2db660988,2019-03,Merseyside Police,Merseyside Police,-3.053611,53.400935,On or near CONNAUGHT WAY,E01032903,Wirral 010F,Unable to prosecute suspect
91205c02c50d9b16d562f68fcb93cb1afacbb899a2c8c68a30378ec2db660988,2019-03,Merseyside Police,Merseyside Police,-3.053611,53.400935,On or near CONNAUGHT WAY,E01032903,Wirral 010F,Unable to prosecute suspect
91205c02c50d9b16d562f68fcb93cb1afacbb899a2c8c68a30378ec2db660988,2019-03,Merseyside Police,Merseyside Police,-3.053611,53.400935,On or near CONNAUGHT WAY,E01032903,Wirral 010F,Unable to prosecute suspect
91205c02c50d9b16d562f68fcb93cb1afacbb899a2c8c68a30378ec2db660988,2019-03,Merseyside Police,Merseyside Police,-3.053611,53.400935,On or near CONNAUGHT WAY,E01032903,Wirral 010F,Unable to prosecute suspect
961a5158509c2af8f767dd12933ffd736622c461d0e3ddc553b2e119c5f3385c,2019-03,Merseyside Police,Merseyside Police,-2.878118,53.341833,On or near HURRICANE DRIVE,E01006739,Liverpool 058B,Unable to prosecute suspect
6ad5ad9a8cfca00172b7e6ef3da2c1584d12b8b65affa76cbce4e6c885c9f69e,2019-03,Merseyside Police,Merseyside Police,-2.878118,53.341833,On or near HURRICANE DRIVE,E01006739,Liverpool 058B,Unable to prosecute suspect
d15469ffb436afb33804eac1040eed10995f23f83606b384bf5603f3990b3b98,2019-03,Merseyside Police,Merseyside Police,-2.928330,53.390964,On or near BORROWDALE ROAD,E01006550,Liverpool 038A,Investigation complete; no suspect identified
95b547fc65919b0e43076ff9046cc2cbfd1d4599291b7451d89abb3045d770d9,2019-03,Merseyside Police,Merseyside Police,-2.974272,53.389788,On or near SHAFTESBURY STREET,E01033765,Liverpool 061D,Suspect charged
95b547fc65919b0e43076ff9046cc2cbfd1d4599291b7451d89abb3045d770d9,2019-03,Merseyside Police,Merseyside Police,-2.974272,53.389788,On or near SHAFTESBURY STREET,E01033765,Liverpool 061D,Suspect charged
95b547fc65919b0e43076ff9046cc2cbfd1d4599291b7451d89abb3045d770d9,2019-03,Merseyside Police,Merseyside Police,-2.974272,53.389788,On or near SHAFTESBURY STREET,E01033765,Liverpool 061D,Suspect charged
95b547fc65919b0e43076ff9046cc2cbfd1d4599291b7451d89abb3045d770d9,2019-03,Merseyside Police,Merseyside Police,-2.974272,53.389788,On or near SHAFTESBURY STREET,E01033765,Liverpool 061D,Suspect charged
36dd4e23babbd5d826ed006f61c95daf87eca234d36d7f93bf5c083da7826355,2019-03,Merseyside Police,Merseyside Police,-2.986453,53.639765,On or near PILKINGTON ROAD,E01006995,Sefton 008A,Suspect charged
533814393aecf686c6b4aea9317dee98fcfee5e3bfe7fd002812b44fef04c4ea,2019-03,Merseyside Police,Merseyside Police,-2.861174,53.419252,On or near GREEN WAY CLOSE,E01006450,Knowsley 012B,Unable to prosecute suspect
3a48849b7311f7ce0a0b47cad3ac93670a451b4650151b6e0e44230bf9a36267,2019-03,Merseyside Police,Merseyside Police,-2.857598,53.424725,On or near CALGARTH ROAD,E01006470,Knowsley 008E,Unable to prosecute suspect
065fb23f6fb228802c045e632487a72016abd69ba910ec62f26297611fc973d5,2019-03,Merseyside Police,Merseyside Police,-2.860704,53.436172,On or near HASWELL DRIVE,E01006413,Knowsley 006B,Suspect charged
065fb23f6fb228802c045e632487a72016abd69ba910ec62f26297611fc973d5,2019-03,Merseyside Police,Merseyside Police,-2.860704,53.436172,On or near HASWELL DRIVE,E01006413,Knowsley 006B,Suspect charged
1875826cd53f79df8f85a547160955a3427fd2daaebe3091c5e9bbd42223bd36,2019-03,Merseyside Police,Merseyside Police,-2.942636,53.423194,On or near SCORTON STREET,E01006540,Liverpool 024A,Unable to prosecute suspect
87fa2e25591e4d40eeeb2bef38f73efa4a3012e8f1583f833a9f79fd7a3ffa9e,2019-03,Merseyside Police,Merseyside Police,-2.976601,53.440260,On or near LEIGHTON STREET,E01006699,Liverpool 014A,Suspect charged
87fa2e25591e4d40eeeb2bef38f73efa4a3012e8f1583f833a9f79fd7a3ffa9e,2019-03,Merseyside Police,Merseyside Police,-2.976601,53.440260,On or near LEIGHTON STREET,E01006699,Liverpool 014A,Suspect charged
87fa2e25591e4d40eeeb2bef38f73efa4a3012e8f1583f833a9f79fd7a3ffa9e,2019-03,Merseyside Police,Merseyside Police,-2.976601,53.440260,On or near LEIGHTON STREET,E01006699,Liverpool 014A,Suspect charged
87fa2e25591e4d40eeeb2bef38f73efa4a3012e8f1583f833a9f79fd7a3ffa9e,2019-03,Merseyside Police,Merseyside Police,-2.976601,53.440260,On or near LEIGHTON STREET,E01006699,Liverpool 014A,Suspect charged
87fa2e25591e4d40eeeb2bef38f73efa4a3012e8f1583f833a9f79fd7a3ffa9e,2019-03,Merseyside Police,Merseyside Police,-2.976601,53.440260,On or near LEIGHTON STREET,E01006699,Liverpool 014A,Suspect charged
87fa2e25591e4d40eeeb2bef38f73efa4a3012e8f1583f833a9f79fd7a3ffa9e,2019-03,Merseyside Police,Merseyside Police,-2.976601,53.440260,On or near LEIGHTON STREET,E01006699,Liverpool 014A,Suspect charged
469cba6fcc21d81c5c6bce388fb2de402a2c50b8012060574c3a918f6854e6d0,2019-03,Merseyside Police,Merseyside Police,-2.924774,53.402398,On or near RATHBONE ROAD,E01006727,Liverpool 035D,Suspect charged
469cba6fcc21d81c5c6bce388fb2de402a2c50b8012060574c3a918f6854e6d0,2019-03,Merseyside Police,Merseyside Police,-2.924774,53.402398,On or near RATHBONE ROAD,E01006727,Liverpool 035D,Suspect charged
469cba6fcc21d81c5c6bce388fb2de402a2c50b8012060574c3a918f6854e6d0,2019-03,Merseyside Police,Merseyside Police,-2.924774,53.402398,On or near RATHBONE ROAD,E01006727,Liverpool 035D,Suspect charged
64b297159dd15529c5dcc0cd3a869867ffb239664c724e2a88f63a20933caca1,2019-03,Merseyside Police,Merseyside Police,-2.853068,53.430744,On or near STOCKBRIDGE LANE,E01006441,Knowsley 006D,Suspect charged
64b297159dd15529c5dcc0cd3a869867ffb239664c724e2a88f63a20933caca1,2019-03,Merseyside Police,Merseyside Police,-2.853068,53.430744,On or near STOCKBRIDGE LANE,E01006441,Knowsley 006D,Suspect charged
c890b40aead3fdc40ea9a129851488ee76b15fe2aeb126faa310d4b2c78c487c,2019-03,Merseyside Police,Merseyside Police,-2.835103,53.403410,On or near GREENFIELD DRIVE,E01006479,Knowsley 015C,Suspect charged
cdeda3e0df101ae6271d5772757f0d7c833c18e2dfa4c91aa53fe6eae73aaa28,2019-03,Merseyside Police,Merseyside Police,-2.968771,53.390579,On or near PICKWICK STREET,E01006518,Liverpool 044A,Unable to prosecute suspect
4325ae66dbe048b93d0daec3c3230daf5fcb8f291c8fccd001a7b0b5dcef84fd,2019-03,Merseyside Police,Merseyside Police,-2.948226,53.466098,On or near BRADVILLE ROAD,E01006652,Liverpool 002A,Unable to prosecute suspect
5f73d76bc19860526f440a527a8de1678de52f4ca34e0051d382b9d4347a6205,2019-03,Merseyside Police,Merseyside Police,-2.756057,53.462525,On or near HAMMILL STREET,E01006916,St. Helens 007C,Suspect charged
5f73d76bc19860526f440a527a8de1678de52f4ca34e0051d382b9d4347a6205,2019-03,Merseyside Police,Merseyside Police,-2.756057,53.462525,On or near HAMMILL STREET,E01006916,St. Helens 007C,Suspect charged
5f73d76bc19860526f440a527a8de1678de52f4ca34e0051d382b9d4347a6205,2019-03,Merseyside Police,Merseyside Police,-2.756057,53.462525,On or near HAMMILL STREET,E01006916,St. Helens 007C,Suspect charged
5f73d76bc19860526f440a527a8de1678de52f4ca34e0051d382b9d4347a6205,2019-03,Merseyside Police,Merseyside Police,-2.756057,53.462525,On or near HAMMILL STREET,E01006916,St. Helens 007C,Suspect charged
75ae28407650e518be56e4815068fd2355259e87895f089eaecdbc119964e4a5,2019-03,Merseyside Police,Merseyside Police,-3.006965,53.466309,On or near SANDY ROAD,E01007011,Sefton 034C,Unable to prosecute suspect
67866d2b6745cdae51c695e45ff6cc2aead98992a0c35d4abc6adede62f5cfe6,2019-03,Merseyside Police,Merseyside Police,-2.938075,53.503032,On or near CHURCH ROAD,E01007074,Sefton 019A,Unable to prosecute suspect
356bfc52c1056849dfe543807a46fc51108b642f089e2e12bf69b9366cf962cf,2019-03,Merseyside Police,Merseyside Police,-2.984826,53.451573,On or near BROOKHILL CLOSE,E01006967,Sefton 037A,Unable to prosecute suspect
6acb2414ae4790a1562621784bd36d012214ba84fb678e65a9b14525196f4560,2019-03,Merseyside Police,Merseyside Police,-3.025168,53.388391,On or near LOWWOOD GROVE,E01007128,Wirral 016C,Unable to prosecute suspect
6acb2414ae4790a1562621784bd36d012214ba84fb678e65a9b14525196f4560,2019-03,Merseyside Police,Merseyside Police,-3.025168,53.388391,On or near LOWWOOD GROVE,E01007128,Wirral 016C,Unable to prosecute suspect
6acb2414ae4790a1562621784bd36d012214ba84fb678e65a9b14525196f4560,2019-03,Merseyside Police,Merseyside Police,-3.025168,53.388391,On or near LOWWOOD GROVE,E01007128,Wirral 016C,Unable to prosecute suspect
6acb2414ae4790a1562621784bd36d012214ba84fb678e65a9b14525196f4560,2019-03,Merseyside Police,Merseyside Police,-3.025168,53.388391,On or near LOWWOOD GROVE,E01007128,Wirral 016C,Unable to prosecute suspect
6acb2414ae4790a1562621784bd36d012214ba84fb678e65a9b14525196f4560,2019-03,Merseyside Police,Merseyside Police,-3.025168,53.388391,On or near LOWWOOD GROVE,E01007128,Wirral 016C,Unable to prosecute suspect
6acb2414ae4790a1562621784bd36d012214ba84fb678e65a9b14525196f4560,2019-03,Merseyside Police,Merseyside Police,-3.025168,53.388391,On or near LOWWOOD GROVE,E01007128,Wirral 016C,Unable to prosecute suspect
4b0451132e19d57d1a4583c0c01a3743fbcee31210fac42e61db9cf32379c616,2019-03,Merseyside Police,Merseyside Police,-3.184755,53.369080,On or near SHREWSBURY ROAD,E01007198,Wirral 026C,Offender given a caution
4b0451132e19d57d1a4583c0c01a3743fbcee31210fac42e61db9cf32379c616,2019-03,Merseyside Police,Merseyside Police,-3.184755,53.369080,On or near SHREWSBURY ROAD,E01007198,Wirral 026C,Offender given a caution
4b0451132e19d57d1a4583c0c01a3743fbcee31210fac42e61db9cf32379c616,2019-03,Merseyside Police,Merseyside Police,-3.184755,53.369080,On or near SHREWSBURY ROAD,E01007198,Wirral 026C,Offender given a caution
a713804ee8a70419e43bf4c6a2aafe3a73a1ebf96f053cacf458383475dc6566,2019-03,Merseyside Police,Merseyside Police,-2.936976,53.459382,On or near DYSON HALL DRIVE,E01006659,Liverpool 005B,Suspect charged
a713804ee8a70419e43bf4c6a2aafe3a73a1ebf96f053cacf458383475dc6566,2019-03,Merseyside Police,Merseyside Police,-2.936976,53.459382,On or near DYSON HALL DRIVE,E01006659,Liverpool 005B,Suspect charged
a713804ee8a70419e43bf4c6a2aafe3a73a1ebf96f053cacf458383475dc6566,2019-03,Merseyside Police,Merseyside Police,-2.936976,53.459382,On or near DYSON HALL DRIVE,E01006659,Liverpool 005B,Suspect charged
4d28449fdb3684110c8c9cecb7e40f6a7dc820678cd7ecb71d31a453fe1c7590,2019-03,Merseyside Police,Merseyside Police,-3.017119,53.487761,On or near HILL STREET,E01007106,Sefton 025D,Offender given a caution
274ea861bd3e3863260e1d383c67877c2d4bb75483f08cfb0ec068dd09bddaf5,2019-03,Merseyside Police,Merseyside Police,-2.711594,53.418412,On or near TUNSTALL'S WAY,E01006897,St. Helens 020F,Suspect charged
